attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad group audience view. Ad group audience view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAudienceViews/{ad_group_id}~{criterion_id}</code></td>",True,ad_group_audience_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,"OPTIMIZE,ROTATE_FOREVER,UNKNOWN,UNSPECIFIED",<td>The ad rotation mode of the ad group.</td>,True,ad_group.ad_rotation_mode,False,True,None,True,google.ads.googleads.v14.enums.AdGroupAdRotationModeEnum.AdGroupAdRotationMode
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Minimum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy. Mutable for portfolio bidding strategies only.</td>,True,bidding_strategy.maximize_conversions.cpc_bid_floor_micros,False,True,None,True,N/A
ATTRIBUTE,INT64,"<td>The target cost-per-action (CPA) option. This is the average amount that you would like to spend per conversion action specified in micro units of the bidding strategy's currency. If set, the bid strategy will get as many conversions as possible at or below the target cost-per-action. If the target CPA is not set, the bid strategy will aim to achieve the lowest possible CPA given the budget.</td>",True,bidding_strategy.maximize_conversions.target_cpa_micros,False,True,None,True,N/A
ATTRIBUTE,STRING,"<td>The name of the bidding strategy. All bidding strategies within an account must be named distinctly. The length of this string should be between 1 and 255, inclusive, in UTF-8 bytes, (trimmed).</td>",True,bidding_strategy.name,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,BOOLEAN,"<td>Immutable. If true, this ad group uses an Audience resource for audience targeting. If false, this ad group may use audience segment criteria instead.</td>",True,ad_group.audience_setting.use_audience_grouped,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Output only. The number of non-removed campaigns attached to this bidding strategy. This field is read-only.</td>,True,bidding_strategy.non_removed_campaign_count,False,True,None,True,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Immutable. The resource name of the bidding strategy. Bidding strategy resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/biddingStrategies/{bidding_strategy_id}</code></td>",True,bidding_strategy.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. For draft or experiment ad groups, this field is the resource name of the base ad group from which this ad group was created. If a draft or experiment ad group does not have a base ad group, then this field is null. For base ad groups, this field equals the ad group resource name. This field is read-only.</td>",True,ad_group.base_ad_group,False,True,None,True,N/A
ATTRIBUTE,BOOLEAN,"<td>Output only. The status between the asset combination and the latest version of the ad. If true, the asset combination is linked to the latest version of the ad. If false, it means the link once existed but has been removed and is no longer present in the latest version of the ad.</td>",True,ad_group_ad_asset_combination_view.enabled,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,"ENABLED,REMOVED,UNKNOWN,UNSPECIFIED",<td>Output only. The status of the bidding strategy. This field is read-only.</td>,True,bidding_strategy.status,False,True,None,True,google.ads.googleads.v14.enums.BiddingStrategyStatusEnum.BiddingStrategyStatus
ATTRIBUTE,INT64,<td>Maximum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy. This should only be set for portfolio bid strategies.</td>,True,bidding_strategy.target_cpa.cpc_bid_ceiling_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,<td>Immutable. The campaign to which the ad group belongs.</td>,True,ad_group.campaign,False,True,None,False,N/A
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad group ad asset combination view. The combination ID is 128 bits long, where the upper 64 bits are stored in asset_combination_id_high, and the lower 64 bits are stored in asset_combination_id_low. AdGroupAd Asset Combination view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adGroupAdAssetCombinationViews/{AdGroupAd.ad_group_id}~{AdGroupAd.ad.ad_id}~{AssetCombination.asset_combination_id_low}~{AssetCombination.asset_combination_id_high}</code></td>",True,ad_group_ad_asset_combination_view.resource_name,False,True,None,False,N/A
ATTRIBUTE,MESSAGE,<td>Output only. Served assets.</td>,False,ad_group_ad_asset_combination_view.served_assets,True,True,None,False,google.ads.googleads.v14.common.AssetUsage
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,RESOURCE_NAME,"<td>Output only. The resource name of the ad schedule view. AdSchedule view resource names have the form: <code translate=""no"" dir=""ltr"">customers/{customer_id}/adScheduleViews/{campaign_id}~{criterion_id}</code></td>",True,ad_schedule_view.resource_name,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Minimum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy. This should only be set for portfolio bid strategies.</td>,True,bidding_strategy.target_cpa.cpc_bid_floor_micros,False,True,None,True,N/A
ATTRIBUTE,INT64,<td>Average CPA target. This target should be greater than or equal to minimum billable unit based on the currency for the account.</td>,True,bidding_strategy.target_cpa.target_cpa_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>The maximum CPC (cost-per-click) bid.</td>,True,ad_group.cpc_bid_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,STRING,<td>Output only. The label for the search category. An empty string denotes the catch-all category for search terms that didn't fit into another category.</td>,True,customer_search_term_insight.category_label,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
