field_filterable,field_repeated,field_selectable,field_sortable,field_selectable_with,field_field_description,field_category,field_data_type,field_name,field_type_url
True,False,True,True,[B@381841d1,The resource name of a Business Profile location. Business Profile location resource names can be fetched through the Business Profile API and adhere to the following format: locations/{locationId}. See the Business Profile API for additional details.,ATTRIBUTE,STRING,smart_campaign_setting.business_profile_location,N/A
True,False,True,False,[B@45384092,Output only. The campaign to which these settings apply.,ATTRIBUTE,RESOURCE_NAME,smart_campaign_setting.campaign,N/A
True,False,True,True,[B@7b1fbdd1,The user-provided landing page URL for this Campaign.,ATTRIBUTE,STRING,smart_campaign_setting.final_url,N/A
True,False,True,True,[B@471ab63,"Upper-case, two-letter country code as defined by ISO-3166.",ATTRIBUTE,STRING,smart_campaign_setting.phone_number.country_code,N/A
True,False,True,True,[B@7e1d74f5,Phone number of the smart campaign.,ATTRIBUTE,STRING,smart_campaign_setting.phone_number.phone_number,N/A
True,False,True,False,[B@79269774,Immutable. The resource name of the Smart campaign setting. Smart campaign setting resource names have the form: customers/{customer_id}/smartCampaignSettings/{campaign_id},ATTRIBUTE,RESOURCE_NAME,smart_campaign_setting.resource_name,N/A
True,False,True,True,[B@7f515cb4,"Output only. Time in seconds when the subscription was first created. The datetime is in the customer's time zone and in ""yyyy-MM-dd HH:mm:ss"" format.",ATTRIBUTE,DATE,recommendation_subscription.create_date_time,N/A
True,False,True,True,[B@76f2da8e,"Output only. Contains the time in microseconds, when the Recommendation Subscription was last updated. The datetime is in the customer's time zone and in ""yyyy-MM-dd HH:mm:ss.ssssss"" format.",ATTRIBUTE,DATE,recommendation_subscription.modify_date_time,N/A
True,False,True,False,[B@63ddb279,Immutable. The resource name of the recommendation subscription. customers/{customer_id}/recommendationSubscriptions/{recommendation_type},ATTRIBUTE,RESOURCE_NAME,recommendation_subscription.resource_name,N/A
True,False,True,True,[B@2e0d0441,"Required. Status of the subscription, either enabled or paused.",ATTRIBUTE,"ENABLED,PAUSED,UNKNOWN,UNSPECIFIED",recommendation_subscription.status,google.ads.googleads.v15.enums.RecommendationSubscriptionStatusEnum.RecommendationSubscriptionStatus
